epoch,step,train_loss
0,0,0.42552319169044495
0,1,2.616319179534912
0,2,1.9382823705673218
0,3,0.45193514227867126
0,4,0.18112987279891968
0,5,0.11382149159908295
0,6,0.28597769141197205
0,7,0.10159618407487869
0,8,0.15111428499221802
0,9,0.18094384670257568
0,10,0.16478459537029266
0,11,0.13100118935108185
0,12,0.11300764232873917
0,13,0.12805302441120148
0,14,0.11925924569368362
0,15,0.14519645273685455
0,16,0.11940369755029678
0,17,0.09734315425157547
0,18,0.1095951646566391
0,19,0.12001054733991623
0,20,0.12932448089122772
0,21,0.11291319876909256
0,22,0.10737308859825134
0,23,0.09573789685964584
0,24,0.09868351370096207
0,25,0.10151823610067368
0,26,0.10665202140808105
0,27,0.09893836826086044
0,28,0.10064482688903809
0,29,0.09348245710134506
0,30,0.09377090632915497
0,31,0.1019972562789917
0,32,0.10281067341566086
0,33,0.09707068651914597
0,34,0.09277624636888504
0,35,0.08942348510026932
0,36,0.09109489619731903
0,37,0.09411397576332092
0,38,0.09439577907323837
0,39,0.10069409012794495
0,40,0.09320051968097687
0,41,0.09671320766210556
0,42,0.08760850131511688
0,43,0.09802079945802689
0,44,0.08837594836950302
0,45,0.08821757882833481
0,46,0.0865592211484909
0,47,0.08687055855989456
0,48,0.08672025799751282
0,49,0.0874098464846611
1,50,0.08617250621318817
1,51,0.08541461080312729
1,52,0.08886118978261948
1,53,0.0854322761297226
1,54,0.08629240095615387
1,55,0.08996594697237015
1,56,0.08744896203279495
1,57,0.09089717268943787
1,58,0.08598046004772186
1,59,0.08528119325637817
1,60,0.08569087088108063
1,61,0.09121540933847427
1,62,0.08651243150234222
1,63,0.08494912832975388
1,64,0.08519784361124039
1,65,0.08593163639307022
1,66,0.08555528521537781
1,67,0.08597195148468018
1,68,0.08471457660198212
1,69,0.08474432677030563
1,70,0.08847606182098389
1,71,0.08591054379940033
1,72,0.08598370105028152
1,73,0.08576462417840958
1,74,0.08561976999044418
1,75,0.08568193763494492
1,76,0.08439892530441284
1,77,0.08539517223834991
1,78,0.0849737673997879
1,79,0.08621489256620407
1,80,0.0845930427312851
1,81,0.08690827339887619
1,82,0.08485113829374313
1,83,0.08664461225271225
1,84,0.08698589354753494
1,85,0.08467613905668259
1,86,0.08488316088914871
1,87,0.08496259152889252
1,88,0.0863964781165123
1,89,0.08856327831745148
1,90,0.08470969647169113
1,91,0.08516736328601837
1,92,0.08622578531503677
1,93,0.08632347732782364
1,94,0.08468089997768402
1,95,0.0846657082438469
1,96,0.08509223908185959
1,97,0.09065547585487366
1,98,0.08434683084487915
1,99,0.08495146036148071
